timestamp_utc,elapsed_s,pod,node,mem_working_set_mi,mem_rss_mi_cgroup,cpu_m,net_rx_bytes,net_tx_bytes,phase
2026-08-05T20:57:36Z,59,plan-ref-win-vm-1050-q52zm,qemtvd-07-w56zg-worker-0-s5hmz,,51,,36739378,137564,Pending
2026-08-05T20:57:56Z,79,plan-ref-win-vm-1050-q52zm,qemtvd-07-w56zg-worker-0-s5hmz,,46,,244622057,589102,Running
2026-08-05T20:58:17Z,100,plan-ref-win-vm-1050-q52zm,qemtvd-07-w56zg-worker-0-s5hmz,25,56,306,454404331,1048142,Running
2026-08-05T20:58:38Z,121,plan-ref-win-vm-1050-q52zm,qemtvd-07-w56zg-worker-0-s5hmz,23,49,454,638482955,1441440,Running
2026-08-05T20:58:58Z,141,plan-ref-win-vm-1050-q52zm,qemtvd-07-w56zg-worker-0-s5hmz,20,36,445,855384912,1913902,Running
2026-08-05T20:59:19Z,162,plan-ref-win-vm-1050-q52zm,qemtvd-07-w56zg-worker-0-s5hmz,24,54,467,1077526601,2386876,Running
2026-08-05T20:59:51Z,194,plan-ref-win-vm-1050-q52zm,qemtvd-07-w56zg-worker-0-s5hmz,23,41,429,1397191115,3075352,Running
2026-08-05T21:00:12Z,215,plan-ref-win-vm-1050-q52zm,qemtvd-07-w56zg-worker-0-s5hmz,21,54,421,1592374311,3488732,Running
2026-08-05T21:00:33Z,236,plan-ref-win-vm-1050-q52zm,qemtvd-07-w56zg-worker-0-s5hmz,21,47,421,1710044876,3743932,Running
2026-08-05T21:00:56Z,259,plan-ref-win-vm-1050-q52zm,qemtvd-07-w56zg-worker-0-s5hmz,21,49,354,1893364022,4141240,Running
2026-08-05T21:01:17Z,280,plan-ref-win-vm-1050-q52zm,qemtvd-07-w56zg-worker-0-s5hmz,21,53,468,2097251063,4558866,Running
2026-08-05T21:01:39Z,302,plan-ref-win-vm-1050-q52zm,qemtvd-07-w56zg-worker-0-s5hmz,22,55,465,2300585396,4977464,Running
2026-08-05T21:02:00Z,323,plan-ref-win-vm-1050-q52zm,qemtvd-07-w56zg-worker-0-s5hmz,22,42,437,2465513442,5337498,Running
2026-08-05T21:02:22Z,345,plan-ref-win-vm-1050-q52zm,qemtvd-07-w56zg-worker-0-s5hmz,22,47,375,2679598037,5767946,Running
2026-08-05T21:02:43Z,366,plan-ref-win-vm-1050-q52zm,qemtvd-07-w56zg-worker-0-s5hmz,21,47,439,2888133166,6190076,Running
2026-08-05T21:03:04Z,387,plan-ref-win-vm-1050-q52zm,qemtvd-07-w56zg-worker-0-s5hmz,22,49,438,3020209518,6474140,Running
2026-08-05T21:03:25Z,408,plan-ref-win-vm-1050-q52zm,qemtvd-07-w56zg-worker-0-s5hmz,21,48,406,3201528411,6840922,Running
2026-08-05T21:03:46Z,429,plan-ref-win-vm-1050-q52zm,qemtvd-07-w56zg-worker-0-s5hmz,23,36,441,3398267072,7252196,Running
2026-08-05T21:04:07Z,450,plan-ref-win-vm-1050-q52zm,qemtvd-07-w56zg-worker-0-s5hmz,21,38,421,3575428810,7612444,Running
2026-08-05T21:04:28Z,471,plan-ref-win-vm-1050-q52zm,qemtvd-07-w56zg-worker-0-s5hmz,22,39,280,3695860015,7890142,Running
2026-08-05T21:05:09Z,512,plan-ref-win-vm-1050-q52zm,qemtvd-07-w56zg-worker-0-s5hmz,22,30,280,3924117686,8416676,Running
2026-08-05T21:05:30Z,533,plan-ref-win-vm-1050-q52zm,qemtvd-07-w56zg-worker-0-s5hmz,21,42,2,3924128511,8429402,Running
2026-08-05T21:05:52Z,555,plan-ref-win-vm-1050-q52zm,qemtvd-07-w56zg-worker-0-s5hmz,21,42,5,3924138183,8440928,Running
2026-08-05T21:06:12Z,575,plan-ref-win-vm-1050-q52zm,qemtvd-07-w56zg-worker-0-s5hmz,21,42,4,3924148129,8452538,Running
2026-08-05T21:06:33Z,596,plan-ref-win-vm-1050-q52zm,qemtvd-07-w56zg-worker-0-s5hmz,21,42,5,3924158863,8465386,Running
2026-08-05T21:06:54Z,617,plan-ref-win-vm-1050-q52zm,qemtvd-07-w56zg-worker-0-s5hmz,21,51,3,4091681255,8802824,Running
2026-08-05T21:07:14Z,637,plan-ref-win-vm-1050-q52zm,qemtvd-07-w56zg-worker-0-s5hmz,23,56,250,4324905491,9325192,Running
2026-08-05T21:07:35Z,658,plan-ref-win-vm-1050-q52zm,qemtvd-07-w56zg-worker-0-s5hmz,21,35,312,4464535163,9647068,Running
2026-08-05T21:07:56Z,679,plan-ref-win-vm-1050-q52zm,qemtvd-07-w56zg-worker-0-s5hmz,20,26,164,4464545951,9659860,Running
2026-08-05T21:08:17Z,700,plan-ref-win-vm-1050-q52zm,qemtvd-07-w56zg-worker-0-s5hmz,20,26,4,4464555188,9671282,Running
2026-08-05T21:08:38Z,721,plan-ref-win-vm-1050-q52zm,qemtvd-07-w56zg-worker-0-s5hmz,20,26,2,4464565377,9683094,Running
2026-08-05T21:09:06Z,749,plan-ref-win-vm-1050-q52zm,qemtvd-07-w56zg-worker-0-s5hmz,20,26,5,4464578571,9698792,Running
2026-08-05T21:09:26Z,769,plan-ref-win-vm-1050-q52zm,qemtvd-07-w56zg-worker-0-s5hmz,21,612,6,4464596050,9707505,Running
2026-08-05T21:09:54Z,797,plan-ref-win-vm-1050-q52zm,qemtvd-07-w56zg-worker-0-s5hmz,307,962,493,4464597022,9708069,Running
2026-08-05T21:10:16Z,819,plan-ref-win-vm-1050-q52zm,qemtvd-07-w56zg-worker-0-s5hmz,,,,,,Succeeded
