timestamp_utc,elapsed_s,pod,node,mem_working_set_mi,mem_rss_mi_cgroup,cpu_m,net_rx_bytes,net_tx_bytes,phase
2026-08-10T10:32:25Z,47,plan-bench-rhel-vm-1051-988kv,qemtvd-07-w56zg-worker-0-s5hmz,,,,3241895,71904,Pending
2026-08-10T10:32:46Z,68,plan-bench-rhel-vm-1051-988kv,qemtvd-07-w56zg-worker-0-s5hmz,,35,,74916617,309156,Running
2026-08-10T10:33:05Z,87,plan-bench-rhel-vm-1051-988kv,qemtvd-07-w56zg-worker-0-s5hmz,22,32,80,346511177,1208242,Running
2026-08-10T10:33:26Z,108,plan-bench-rhel-vm-1051-988kv,qemtvd-07-w56zg-worker-0-s5hmz,21,38,198,349850577,1235946,Running
2026-08-10T10:33:46Z,128,plan-bench-rhel-vm-1051-988kv,qemtvd-07-w56zg-worker-0-s5hmz,20,38,97,349860752,1248398,Running
2026-08-10T10:34:06Z,148,plan-bench-rhel-vm-1051-988kv,qemtvd-07-w56zg-worker-0-s5hmz,20,50,4,422868815,1499098,Running
2026-08-10T10:34:26Z,168,plan-bench-rhel-vm-1051-988kv,qemtvd-07-w56zg-worker-0-s5hmz,21,54,87,607330584,2060495,Running
2026-08-10T10:34:46Z,188,plan-bench-rhel-vm-1051-988kv,qemtvd-07-w56zg-worker-0-s5hmz,22,33,402,859421454,2778131,Running
2026-08-10T10:35:07Z,209,plan-bench-rhel-vm-1051-988kv,qemtvd-07-w56zg-worker-0-s5hmz,21,44,475,1002483251,3244498,Running
2026-08-10T10:35:27Z,229,plan-bench-rhel-vm-1051-988kv,qemtvd-07-w56zg-worker-0-s5hmz,21,44,84,1002493207,3256108,Running
2026-08-10T10:35:47Z,249,plan-bench-rhel-vm-1051-988kv,qemtvd-07-w56zg-worker-0-s5hmz,21,44,3,1002502852,3267568,Running
2026-08-10T10:36:07Z,269,plan-bench-rhel-vm-1051-988kv,qemtvd-07-w56zg-worker-0-s5hmz,21,36,27,1207348138,4000624,Running
2026-08-10T10:36:27Z,289,plan-bench-rhel-vm-1051-988kv,qemtvd-07-w56zg-worker-0-s5hmz,21,26,27,1388062538,4654074,Running
2026-08-10T10:36:47Z,309,plan-bench-rhel-vm-1051-988kv,qemtvd-07-w56zg-worker-0-s5hmz,24,38,372,1567051732,5294788,Running
2026-08-10T10:37:07Z,328,plan-bench-rhel-vm-1051-988kv,qemtvd-07-w56zg-worker-0-s5hmz,21,38,119,1567061485,5306290,Running
2026-08-10T10:37:26Z,348,plan-bench-rhel-vm-1051-988kv,qemtvd-07-w56zg-worker-0-s5hmz,21,38,1,1567071296,5317924,Running
2026-08-10T10:37:46Z,368,plan-bench-rhel-vm-1051-988kv,qemtvd-07-w56zg-worker-0-s5hmz,21,29,4,1653274333,5641978,Running
2026-08-10T10:38:06Z,388,plan-bench-rhel-vm-1051-988kv,qemtvd-07-w56zg-worker-0-s5hmz,22,46,84,1802484214,6156706,Running
2026-08-10T10:38:26Z,408,plan-bench-rhel-vm-1051-988kv,qemtvd-07-w56zg-worker-0-s5hmz,23,49,363,1966747991,6748372,Running
2026-08-10T10:38:49Z,431,plan-bench-rhel-vm-1051-988kv,qemtvd-07-w56zg-worker-0-s5hmz,22,52,392,2145302459,7322314,Running
2026-08-10T10:39:09Z,451,plan-bench-rhel-vm-1051-988kv,qemtvd-07-w56zg-worker-0-s5hmz,21,50,380,2201010551,7517532,Running
2026-08-10T10:39:29Z,471,plan-bench-rhel-vm-1051-988kv,qemtvd-07-w56zg-worker-0-s5hmz,22,50,66,2201020280,7529010,Running
2026-08-10T10:39:49Z,491,plan-bench-rhel-vm-1051-988kv,qemtvd-07-w56zg-worker-0-s5hmz,22,31,2,2394732363,8171340,Running
2026-08-10T10:40:09Z,511,plan-bench-rhel-vm-1051-988kv,qemtvd-07-w56zg-worker-0-s5hmz,22,56,214,2560292181,8741070,Running
2026-08-10T10:40:29Z,531,plan-bench-rhel-vm-1051-988kv,qemtvd-07-w56zg-worker-0-s5hmz,21,52,407,2744100836,9360092,Running
2026-08-10T10:40:49Z,551,plan-bench-rhel-vm-1051-988kv,qemtvd-07-w56zg-worker-0-s5hmz,22,45,369,2920157127,9905114,Running
2026-08-10T10:41:09Z,571,plan-bench-rhel-vm-1051-988kv,qemtvd-07-w56zg-worker-0-s5hmz,22,45,428,2926195314,9936402,Running
2026-08-10T10:41:29Z,591,plan-bench-rhel-vm-1051-988kv,qemtvd-07-w56zg-worker-0-s5hmz,21,45,116,2926205059,9948036,Running
2026-08-10T10:41:49Z,611,plan-bench-rhel-vm-1051-988kv,qemtvd-07-w56zg-worker-0-s5hmz,316,768,338,2926220143,9953598,Running
2026-08-10T10:42:09Z,631,plan-bench-rhel-vm-1051-988kv,qemtvd-07-w56zg-worker-0-s5hmz,316,1114,338,2926221369,9954280,Running
2026-08-10T10:42:29Z,651,plan-bench-rhel-vm-1051-988kv,qemtvd-07-w56zg-worker-0-s5hmz,609,1510,1075,2926222637,9955004,Running
2026-08-10T10:42:49Z,671,plan-bench-rhel-vm-1051-988kv,qemtvd-07-w56zg-worker-0-s5hmz,836,1842,1035,2926223863,9955686,Running
2026-08-10T10:43:09Z,691,plan-bench-rhel-vm-1051-988kv,qemtvd-07-w56zg-worker-0-s5hmz,856,1967,1080,2926225089,9956368,Running
2026-08-10T10:43:29Z,711,plan-bench-rhel-vm-1051-988kv,qemtvd-07-w56zg-worker-0-s5hmz,856,1976,1080,2926226209,9957012,Running
2026-08-10T10:43:51Z,733,plan-bench-rhel-vm-1051-988kv,qemtvd-07-w56zg-worker-0-s5hmz,,,,,,Succeeded
