timestamp_utc,elapsed_s,pod,node,mem_working_set_mi,mem_rss_mi_cgroup,cpu_m,net_rx_bytes,net_tx_bytes,phase
2026-08-24T12:58:42Z,57,plan-bench-vm-1021-9grlj,qemtvd-07-2vn4h-worker-0-w8r2g,,23,,4439808,83948,Pending
2026-08-24T12:59:05Z,80,plan-bench-vm-1021-9grlj,qemtvd-07-2vn4h-worker-0-w8r2g,,51,,11879722,119360,Running
2026-08-24T12:59:28Z,103,plan-bench-vm-1021-9grlj,qemtvd-07-2vn4h-worker-0-w8r2g,25,56,4,11971339,135136,Running
2026-08-24T12:59:50Z,125,plan-bench-vm-1021-9grlj,qemtvd-07-2vn4h-worker-0-w8r2g,25,73,3,132662961,550348,Running
2026-08-24T13:00:16Z,151,plan-bench-vm-1021-9grlj,qemtvd-07-2vn4h-worker-0-w8r2g,28,46,121,281874147,1046786,Running
2026-08-24T13:00:38Z,173,plan-bench-vm-1021-9grlj,qemtvd-07-2vn4h-worker-0-w8r2g,30,62,226,422632929,1532976,Running
2026-08-24T13:01:01Z,196,plan-bench-vm-1021-9grlj,qemtvd-07-2vn4h-worker-0-w8r2g,31,67,242,586549078,2090718,Running
2026-08-24T13:01:24Z,219,plan-bench-vm-1021-9grlj,qemtvd-07-2vn4h-worker-0-w8r2g,29,58,251,783047284,2678530,Running
2026-08-24T13:01:48Z,243,plan-bench-vm-1021-9grlj,qemtvd-07-2vn4h-worker-0-w8r2g,30,46,405,965921537,3266771,Running
2026-08-24T13:02:11Z,266,plan-bench-vm-1021-9grlj,qemtvd-07-2vn4h-worker-0-w8r2g,30,49,400,1166812234,3873511,Running
2026-08-24T13:02:34Z,289,plan-bench-vm-1021-9grlj,qemtvd-07-2vn4h-worker-0-w8r2g,29,62,403,1364827866,4489729,Running
2026-08-24T13:02:57Z,312,plan-bench-vm-1021-9grlj,qemtvd-07-2vn4h-worker-0-w8r2g,29,45,404,1583362567,5145584,Running
2026-08-24T13:03:20Z,335,plan-bench-vm-1021-9grlj,qemtvd-07-2vn4h-worker-0-w8r2g,29,34,374,1764736239,5771813,Running
2026-08-24T13:03:43Z,358,plan-bench-vm-1021-9grlj,qemtvd-07-2vn4h-worker-0-w8r2g,29,57,256,1944150988,6365103,Running
2026-08-24T13:04:05Z,380,plan-bench-vm-1021-9grlj,qemtvd-07-2vn4h-worker-0-w8r2g,29,47,382,2111370046,6924759,Running
2026-08-24T13:04:28Z,403,plan-bench-vm-1021-9grlj,qemtvd-07-2vn4h-worker-0-w8r2g,29,37,399,2396450016,7771819,Running
2026-08-24T13:04:51Z,426,plan-bench-vm-1021-9grlj,qemtvd-07-2vn4h-worker-0-w8r2g,30,57,228,2713414221,8787363,Running
2026-08-24T13:05:16Z,451,plan-bench-vm-1021-9grlj,qemtvd-07-2vn4h-worker-0-w8r2g,29,64,197,3061986913,9943931,Running
2026-08-24T13:05:38Z,473,plan-bench-vm-1021-9grlj,qemtvd-07-2vn4h-worker-0-w8r2g,29,58,171,3376566339,10964043,Running
2026-08-24T13:06:01Z,496,plan-bench-vm-1021-9grlj,qemtvd-07-2vn4h-worker-0-w8r2g,29,34,257,3580125555,11585845,Running
2026-08-24T13:06:24Z,519,plan-bench-vm-1021-9grlj,qemtvd-07-2vn4h-worker-0-w8r2g,29,64,394,3772947861,12188585,Running
2026-08-24T13:06:47Z,542,plan-bench-vm-1021-9grlj,qemtvd-07-2vn4h-worker-0-w8r2g,30,41,395,3958673188,12807497,Running
2026-08-24T13:07:10Z,565,plan-bench-vm-1021-9grlj,qemtvd-07-2vn4h-worker-0-w8r2g,32,58,381,4147111022,13422023,Running
2026-08-24T13:07:33Z,588,plan-bench-vm-1021-9grlj,qemtvd-07-2vn4h-worker-0-w8r2g,29,49,388,4325828109,14026823,Running
2026-08-24T13:07:56Z,611,plan-bench-vm-1021-9grlj,qemtvd-07-2vn4h-worker-0-w8r2g,29,63,365,4487732128,14552331,Running
2026-08-24T13:08:19Z,634,plan-bench-vm-1021-9grlj,qemtvd-07-2vn4h-worker-0-w8r2g,31,63,344,4678767912,15175651,Running
2026-08-24T13:08:42Z,657,plan-bench-vm-1021-9grlj,qemtvd-07-2vn4h-worker-0-w8r2g,29,63,396,4915423678,15931393,Running
2026-08-24T13:09:05Z,680,plan-bench-vm-1021-9grlj,qemtvd-07-2vn4h-worker-0-w8r2g,32,64,396,5141810942,16689565,Running
2026-08-24T13:09:28Z,703,plan-bench-vm-1021-9grlj,qemtvd-07-2vn4h-worker-0-w8r2g,29,43,285,5344589605,17385497,Running
2026-08-24T13:09:52Z,727,plan-bench-vm-1021-9grlj,qemtvd-07-2vn4h-worker-0-w8r2g,30,52,231,5579318696,18138849,Running
2026-08-24T13:10:17Z,752,plan-bench-vm-1021-9grlj,qemtvd-07-2vn4h-worker-0-w8r2g,29,46,270,5845158288,18971111,Running
2026-08-24T13:10:40Z,775,plan-bench-vm-1021-9grlj,qemtvd-07-2vn4h-worker-0-w8r2g,29,44,219,6078066945,19813089,Running
2026-08-24T13:11:03Z,797,plan-bench-vm-1021-9grlj,qemtvd-07-2vn4h-worker-0-w8r2g,29,39,277,6350653302,20741989,Running
2026-08-24T13:11:25Z,820,plan-bench-vm-1021-9grlj,qemtvd-07-2vn4h-worker-0-w8r2g,29,60,254,6584752248,21455901,Running
2026-08-24T13:11:48Z,843,plan-bench-vm-1021-9grlj,qemtvd-07-2vn4h-worker-0-w8r2g,29,36,254,6815342906,22170363,Running
