timestamp_utc,elapsed_s,pod,node,mem_working_set_mi,mem_rss_mi_cgroup,cpu_m,net_rx_bytes,net_tx_bytes,phase
2026-08-10T11:00:22Z,44,plan-bench-rhel-vm-1051-6765l,qemtvd-07-w56zg-worker-0-s5hmz,,84,,60910,38431,Running
2026-08-10T11:00:42Z,64,plan-bench-rhel-vm-1051-6765l,qemtvd-07-w56zg-worker-0-s5hmz,,923,,7439464,286681,Running
2026-08-10T11:01:02Z,84,plan-bench-rhel-vm-1051-6765l,qemtvd-07-w56zg-worker-0-s5hmz,430,995,1413,43352859,1911741,Running
2026-08-10T11:01:22Z,104,plan-bench-rhel-vm-1051-6765l,qemtvd-07-w56zg-worker-0-s5hmz,428,1019,477,77494001,3457583,Running
2026-08-10T11:01:42Z,124,plan-bench-rhel-vm-1051-6765l,qemtvd-07-w56zg-worker-0-s5hmz,422,1044,473,104114869,4832243,Running
2026-08-10T11:02:02Z,144,plan-bench-rhel-vm-1051-6765l,qemtvd-07-w56zg-worker-0-s5hmz,422,1069,424,128837145,6033435,Running
2026-08-10T11:02:21Z,163,plan-bench-rhel-vm-1051-6765l,qemtvd-07-w56zg-worker-0-s5hmz,424,1092,623,151101147,7179128,Running
2026-08-10T11:02:41Z,183,plan-bench-rhel-vm-1051-6765l,qemtvd-07-w56zg-worker-0-s5hmz,424,1273,451,240471405,7783543,Running
2026-08-10T11:03:02Z,203,plan-bench-rhel-vm-1051-6765l,qemtvd-07-w56zg-worker-0-s5hmz,448,1549,1254,319851807,8603230,Running
2026-08-10T11:03:21Z,223,plan-bench-rhel-vm-1051-6765l,qemtvd-07-w56zg-worker-0-s5hmz,741,1727,1004,391386064,9442206,Running
2026-08-10T11:03:41Z,243,plan-bench-rhel-vm-1051-6765l,qemtvd-07-w56zg-worker-0-s5hmz,825,1762,598,410824174,9725503,Running
2026-08-10T11:04:04Z,266,plan-bench-rhel-vm-1051-6765l,qemtvd-07-w56zg-worker-0-s5hmz,849,1953,1265,471415641,10385396,Running
2026-08-10T11:04:24Z,286,plan-bench-rhel-vm-1051-6765l,qemtvd-07-w56zg-worker-0-s5hmz,936,2116,2077,476745289,10457594,Running
2026-08-10T11:04:45Z,307,plan-bench-rhel-vm-1051-6765l,qemtvd-07-w56zg-worker-0-s5hmz,1014,2275,1464,484834468,10628427,Running
2026-08-10T11:05:05Z,327,plan-bench-rhel-vm-1051-6765l,qemtvd-07-w56zg-worker-0-s5hmz,1171,2401,2062,503639135,11075432,Running
2026-08-10T11:05:25Z,347,plan-bench-rhel-vm-1051-6765l,qemtvd-07-w56zg-worker-0-s5hmz,1171,2493,2062,532956481,11704917,Running
2026-08-10T11:05:44Z,366,plan-bench-rhel-vm-1051-6765l,qemtvd-07-w56zg-worker-0-s5hmz,1267,1418,2733,614806723,12389352,Running
2026-08-10T11:06:04Z,386,plan-bench-rhel-vm-1051-6765l,qemtvd-07-w56zg-worker-0-s5hmz,219,1784,480,1197628885,14918501,Running
2026-08-10T11:06:25Z,406,plan-bench-rhel-vm-1051-6765l,qemtvd-07-w56zg-worker-0-s5hmz,226,1784,387,1788575150,17202593,Running
2026-08-10T11:06:44Z,426,plan-bench-rhel-vm-1051-6765l,qemtvd-07-w56zg-worker-0-s5hmz,226,1785,236,2389730095,19429719,Running
2026-08-10T11:07:04Z,446,plan-bench-rhel-vm-1051-6765l,qemtvd-07-w56zg-worker-0-s5hmz,226,2094,243,2953566203,22321871,Running
2026-08-10T11:07:24Z,466,plan-bench-rhel-vm-1051-6765l,qemtvd-07-w56zg-worker-0-s5hmz,234,2679,397,3515241250,24704542,Running
2026-08-10T11:07:45Z,487,plan-bench-rhel-vm-1051-6765l,qemtvd-07-w56zg-worker-0-s5hmz,252,3214,411,4112594509,27719305,Running
2026-08-10T11:08:06Z,508,plan-bench-rhel-vm-1051-6765l,qemtvd-07-w56zg-worker-0-s5hmz,266,3222,428,4681683938,30209254,Running
2026-08-10T11:08:25Z,527,plan-bench-rhel-vm-1051-6765l,qemtvd-07-w56zg-worker-0-s5hmz,293,3497,431,5191026348,32387980,Running
2026-08-10T11:08:46Z,548,plan-bench-rhel-vm-1051-6765l,qemtvd-07-w56zg-worker-0-s5hmz,306,3236,430,5728189654,34739054,Running
2026-08-10T11:09:07Z,569,plan-bench-rhel-vm-1051-6765l,qemtvd-07-w56zg-worker-0-s5hmz,299,3142,461,6303995674,37519855,Running
2026-08-10T11:09:27Z,589,plan-bench-rhel-vm-1051-6765l,qemtvd-07-w56zg-worker-0-s5hmz,306,3348,449,6777213240,39582998,Running
2026-08-10T11:09:47Z,609,plan-bench-rhel-vm-1051-6765l,qemtvd-07-w56zg-worker-0-s5hmz,282,3136,360,6843702559,39895071,Running
2026-08-10T11:10:07Z,629,plan-bench-rhel-vm-1051-6765l,qemtvd-07-w56zg-worker-0-s5hmz,439,3233,971,6843703785,39895753,Running
