timestamp_utc,elapsed_s,pod,node,mem_working_set_mi,mem_rss_mi_cgroup,cpu_m,net_rx_bytes,net_tx_bytes,phase
2026-08-10T11:16:59Z,48,plan-bench-win-vm-1021-l9zk5,qemtvd-07-w56zg-worker-0-s5hmz,,,,57579,32282,Pending
2026-08-10T11:17:19Z,68,plan-bench-win-vm-1021-l9zk5,qemtvd-07-w56zg-worker-0-s5hmz,,614,,2129727,262937,Running
2026-08-10T11:17:39Z,88,plan-bench-win-vm-1021-l9zk5,qemtvd-07-w56zg-worker-0-s5hmz,438,988,957,28261267,1171376,Running
2026-08-10T11:17:59Z,108,plan-bench-win-vm-1021-l9zk5,qemtvd-07-w56zg-worker-0-s5hmz,441,1017,565,65537278,2856211,Running
2026-08-10T11:18:19Z,128,plan-bench-win-vm-1021-l9zk5,qemtvd-07-w56zg-worker-0-s5hmz,442,1049,497,101095573,4469636,Running
2026-08-10T11:18:39Z,148,plan-bench-win-vm-1021-l9zk5,qemtvd-07-w56zg-worker-0-s5hmz,443,1084,498,137617552,6273324,Running
2026-08-10T11:19:01Z,170,plan-bench-win-vm-1021-l9zk5,qemtvd-07-w56zg-worker-0-s5hmz,444,1243,577,239344571,7487811,Running
2026-08-10T11:19:21Z,190,plan-bench-win-vm-1021-l9zk5,qemtvd-07-w56zg-worker-0-s5hmz,596,1633,1455,241908222,7525677,Running
2026-08-10T11:19:40Z,209,plan-bench-win-vm-1021-l9zk5,qemtvd-07-w56zg-worker-0-s5hmz,872,1712,1583,241910710,7539363,Running
2026-08-10T11:20:00Z,229,plan-bench-win-vm-1021-l9zk5,qemtvd-07-w56zg-worker-0-s5hmz,910,1713,1352,241959264,7554606,Running
2026-08-10T11:20:20Z,249,plan-bench-win-vm-1021-l9zk5,qemtvd-07-w56zg-worker-0-s5hmz,929,1753,1294,242017595,7569059,Running
2026-08-10T11:20:41Z,270,plan-bench-win-vm-1021-l9zk5,qemtvd-07-w56zg-worker-0-s5hmz,948,1602,1336,242020083,7582752,Running
