timestamp_utc,elapsed_s,pod,node,mem_working_set_mi,mem_rss_mi_cgroup,cpu_m,net_rx_bytes,net_tx_bytes,phase
2026-08-24T12:35:26Z,46,plan-bench-vm-1052-67jln,qemtvd-07-2vn4h-worker-0-w8r2g,,,,55270,30780,Pending
2026-08-24T12:35:49Z,69,plan-bench-vm-1052-67jln,qemtvd-07-2vn4h-worker-0-w8r2g,,763,,1296952,201785,Running
2026-08-24T12:36:12Z,92,plan-bench-vm-1052-67jln,qemtvd-07-2vn4h-worker-0-w8r2g,428,971,1266,32022652,1375123,Running
2026-08-24T12:36:39Z,119,plan-bench-vm-1052-67jln,qemtvd-07-2vn4h-worker-0-w8r2g,430,1003,368,72071308,3187407,Running
2026-08-24T12:37:02Z,142,plan-bench-vm-1052-67jln,qemtvd-07-2vn4h-worker-0-w8r2g,431,1046,383,114136286,5249319,Running
2026-08-24T12:37:24Z,164,plan-bench-vm-1052-67jln,qemtvd-07-2vn4h-worker-0-w8r2g,434,1083,584,151524715,7176166,Running
2026-08-24T12:37:47Z,187,plan-bench-vm-1052-67jln,qemtvd-07-2vn4h-worker-0-w8r2g,432,1350,881,273659576,8104129,Running
2026-08-24T12:38:09Z,209,plan-bench-vm-1052-67jln,qemtvd-07-2vn4h-worker-0-w8r2g,675,1584,731,359837133,9093489,Running
2026-08-24T12:38:32Z,232,plan-bench-vm-1052-67jln,qemtvd-07-2vn4h-worker-0-w8r2g,756,1710,833,405452468,9648492,Running
2026-08-24T12:38:54Z,254,plan-bench-vm-1052-67jln,qemtvd-07-2vn4h-worker-0-w8r2g,856,1775,1261,454156133,10176932,Running
2026-08-24T12:39:16Z,276,plan-bench-vm-1052-67jln,qemtvd-07-2vn4h-worker-0-w8r2g,856,2059,1261,481200635,10525673,Running
2026-08-24T12:39:39Z,299,plan-bench-vm-1052-67jln,qemtvd-07-2vn4h-worker-0-w8r2g,1075,2218,1505,481220483,10540435,Running
2026-08-24T12:40:01Z,321,plan-bench-vm-1052-67jln,qemtvd-07-2vn4h-worker-0-w8r2g,1162,2323,1455,503075648,11038511,Running
2026-08-24T12:40:23Z,343,plan-bench-vm-1052-67jln,qemtvd-07-2vn4h-worker-0-w8r2g,1172,2105,2662,523198184,11489841,Running
2026-08-24T12:40:45Z,365,plan-bench-vm-1052-67jln,qemtvd-07-2vn4h-worker-0-w8r2g,1261,2187,2118,543810031,11959828,Running
2026-08-24T12:41:08Z,388,plan-bench-vm-1052-67jln,qemtvd-07-2vn4h-worker-0-w8r2g,178,1070,1914,546516332,12252336,Running
2026-08-24T12:41:30Z,410,plan-bench-vm-1052-67jln,qemtvd-07-2vn4h-worker-0-w8r2g,200,1431,53,959840484,13983214,Running
2026-08-24T12:41:53Z,433,plan-bench-vm-1052-67jln,qemtvd-07-2vn4h-worker-0-w8r2g,222,1441,170,1402454050,15645210,Running
2026-08-24T12:42:15Z,455,plan-bench-vm-1052-67jln,qemtvd-07-2vn4h-worker-0-w8r2g,222,1441,151,1838729631,17610495,Running
2026-08-24T12:42:38Z,478,plan-bench-vm-1052-67jln,qemtvd-07-2vn4h-worker-0-w8r2g,224,1442,157,2270615058,19245299,Running
2026-08-24T12:43:01Z,501,plan-bench-vm-1052-67jln,qemtvd-07-2vn4h-worker-0-w8r2g,224,1494,157,2707717668,21119610,Running
2026-08-24T12:43:24Z,524,plan-bench-vm-1052-67jln,qemtvd-07-2vn4h-worker-0-w8r2g,212,1899,164,3097878722,23222190,Running
2026-08-24T12:43:47Z,547,plan-bench-vm-1052-67jln,qemtvd-07-2vn4h-worker-0-w8r2g,221,2189,256,3505400545,24826128,Running
2026-08-24T12:44:10Z,570,plan-bench-vm-1052-67jln,qemtvd-07-2vn4h-worker-0-w8r2g,240,2246,250,3910959252,26284429,Running
