timestamp_utc,elapsed_s,pod,node,mem_working_set_mi,mem_rss_mi_cgroup,cpu_m,net_rx_bytes,net_tx_bytes,phase
2026-08-05T20:44:11Z,48,plan-ref-rhel-vm-1074-qlcpn,qemtvd-07-w56zg-worker-0-s5hmz,,22,,3081524,50039,Pending
2026-08-05T20:44:32Z,69,plan-ref-rhel-vm-1074-qlcpn,qemtvd-07-w56zg-worker-0-s5hmz,,29,,148133427,372407,Running
2026-08-05T20:44:57Z,94,plan-ref-rhel-vm-1074-qlcpn,qemtvd-07-w56zg-worker-0-s5hmz,15,19,25,347484906,804527,Running
2026-08-05T20:45:17Z,114,plan-ref-rhel-vm-1074-qlcpn,qemtvd-07-w56zg-worker-0-s5hmz,15,33,111,349580112,822421,Running
2026-08-05T20:45:38Z,135,plan-ref-rhel-vm-1074-qlcpn,qemtvd-07-w56zg-worker-0-s5hmz,16,33,14,349590442,834849,Running
2026-08-05T20:45:59Z,156,plan-ref-rhel-vm-1074-qlcpn,qemtvd-07-w56zg-worker-0-s5hmz,16,28,5,531493611,1241559,Running
2026-08-05T20:46:23Z,180,plan-ref-rhel-vm-1074-qlcpn,qemtvd-07-w56zg-worker-0-s5hmz,16,40,316,802497003,1784719,Running
2026-08-05T20:46:43Z,200,plan-ref-rhel-vm-1074-qlcpn,qemtvd-07-w56zg-worker-0-s5hmz,18,40,475,1003395213,2200249,Running
2026-08-05T20:47:04Z,221,plan-ref-rhel-vm-1074-qlcpn,qemtvd-07-w56zg-worker-0-s5hmz,18,39,259,1003405691,2212701,Running
2026-08-05T20:47:25Z,242,plan-ref-rhel-vm-1074-qlcpn,qemtvd-07-w56zg-worker-0-s5hmz,18,40,3,1003415616,2224361,Running
2026-08-05T20:47:45Z,262,plan-ref-rhel-vm-1074-qlcpn,qemtvd-07-w56zg-worker-0-s5hmz,19,44,4,1173401084,2575097,Running
2026-08-05T20:48:05Z,282,plan-ref-rhel-vm-1074-qlcpn,qemtvd-07-w56zg-worker-0-s5hmz,19,31,184,1368289286,2978695,Running
2026-08-05T20:48:26Z,303,plan-ref-rhel-vm-1074-qlcpn,qemtvd-07-w56zg-worker-0-s5hmz,19,34,184,1570841583,3369553,Running
2026-08-05T20:48:47Z,324,plan-ref-rhel-vm-1074-qlcpn,qemtvd-07-w56zg-worker-0-s5hmz,18,34,296,1570851763,3381287,Running
2026-08-05T20:49:08Z,345,plan-ref-rhel-vm-1074-qlcpn,qemtvd-07-w56zg-worker-0-s5hmz,18,34,5,1570861514,3392789,Running
2026-08-05T20:49:28Z,365,plan-ref-rhel-vm-1074-qlcpn,qemtvd-07-w56zg-worker-0-s5hmz,18,32,4,1662372268,3603967,Running
2026-08-05T20:49:50Z,387,plan-ref-rhel-vm-1074-qlcpn,qemtvd-07-w56zg-worker-0-s5hmz,19,46,215,1828097948,3977779,Running
2026-08-05T20:50:11Z,408,plan-ref-rhel-vm-1074-qlcpn,qemtvd-07-w56zg-worker-0-s5hmz,20,48,417,2009615350,4370615,Running
2026-08-05T20:50:32Z,429,plan-ref-rhel-vm-1074-qlcpn,qemtvd-07-w56zg-worker-0-s5hmz,20,42,401,2163394911,4698653,Running
2026-08-05T20:50:52Z,449,plan-ref-rhel-vm-1074-qlcpn,qemtvd-07-w56zg-worker-0-s5hmz,20,46,396,2205942020,4798971,Running
2026-08-05T20:51:13Z,470,plan-ref-rhel-vm-1074-qlcpn,qemtvd-07-w56zg-worker-0-s5hmz,19,46,24,2205951734,4810407,Running
2026-08-05T20:51:34Z,491,plan-ref-rhel-vm-1074-qlcpn,qemtvd-07-w56zg-worker-0-s5hmz,19,50,71,2421972690,5245761,Running
2026-08-05T20:51:56Z,513,plan-ref-rhel-vm-1074-qlcpn,qemtvd-07-w56zg-worker-0-s5hmz,19,28,348,2614209389,5650939,Running
2026-08-05T20:52:17Z,534,plan-ref-rhel-vm-1074-qlcpn,qemtvd-07-w56zg-worker-0-s5hmz,21,54,411,2807631913,6054009,Running
2026-08-05T20:52:40Z,557,plan-ref-rhel-vm-1074-qlcpn,qemtvd-07-w56zg-worker-0-s5hmz,20,41,437,2930910409,6300141,Running
2026-08-05T20:53:01Z,578,plan-ref-rhel-vm-1074-qlcpn,qemtvd-07-w56zg-worker-0-s5hmz,19,41,86,2930920523,6311809,Running
2026-08-05T20:53:22Z,599,plan-ref-rhel-vm-1074-qlcpn,qemtvd-07-w56zg-worker-0-s5hmz,19,482,4,2930939302,6321725,Running
2026-08-05T20:53:42Z,619,plan-ref-rhel-vm-1074-qlcpn,qemtvd-07-w56zg-worker-0-s5hmz,263,792,672,2930940380,6322327,Running
2026-08-05T20:54:03Z,640,plan-ref-rhel-vm-1074-qlcpn,qemtvd-07-w56zg-worker-0-s5hmz,483,1174,824,2930941606,6323009,Running
2026-08-05T20:54:24Z,660,plan-ref-rhel-vm-1074-qlcpn,qemtvd-07-w56zg-worker-0-s5hmz,624,1460,658,2930942874,6323733,Running
2026-08-05T20:54:49Z,686,plan-ref-rhel-vm-1074-qlcpn,qemtvd-07-w56zg-worker-0-s5hmz,800,1683,869,2930943910,6324293,Running
2026-08-05T20:55:10Z,707,plan-ref-rhel-vm-1074-qlcpn,qemtvd-07-w56zg-worker-0-s5hmz,801,1804,1029,2930944882,6324857,Running
2026-08-05T20:55:31Z,728,plan-ref-rhel-vm-1074-qlcpn,qemtvd-07-w56zg-worker-0-s5hmz,819,1804,991,2930946066,6325497,Running
2026-08-05T20:55:53Z,750,plan-ref-rhel-vm-1074-qlcpn,qemtvd-07-w56zg-worker-0-s5hmz,848,,1000,,,Running
