timestamp_utc,elapsed_s,pod,node,mem_working_set_mi,mem_rss_mi_cgroup,cpu_m,net_rx_bytes,net_tx_bytes,phase
2026-08-05T21:17:14Z,54,plan-ref-rhel-vm-1074-bf9mr,qemtvd-07-w56zg-worker-0-mb2zg,,78,,60095,36880,Pending
2026-08-05T21:17:34Z,74,plan-ref-rhel-vm-1074-bf9mr,qemtvd-07-w56zg-worker-0-mb2zg,,904,,3584610,136349,Running
2026-08-05T21:17:55Z,95,plan-ref-rhel-vm-1074-bf9mr,qemtvd-07-w56zg-worker-0-mb2zg,,1030,,30557741,1521963,Running
2026-08-05T21:18:15Z,115,plan-ref-rhel-vm-1074-bf9mr,qemtvd-07-w56zg-worker-0-mb2zg,476,1070,408,65672073,3249471,Running
2026-08-05T21:18:36Z,136,plan-ref-rhel-vm-1074-bf9mr,qemtvd-07-w56zg-worker-0-mb2zg,484,1137,542,83356690,3944972,Running
2026-08-05T21:18:57Z,157,plan-ref-rhel-vm-1074-bf9mr,qemtvd-07-w56zg-worker-0-mb2zg,597,1414,1398,237249691,5364142,Running
2026-08-05T21:19:17Z,177,plan-ref-rhel-vm-1074-bf9mr,qemtvd-07-w56zg-worker-0-mb2zg,747,1639,807,314051029,6351995,Running
2026-08-05T21:19:39Z,199,plan-ref-rhel-vm-1074-bf9mr,qemtvd-07-w56zg-worker-0-mb2zg,879,1678,752,334139476,6627963,Running
2026-08-05T21:20:00Z,220,plan-ref-rhel-vm-1074-bf9mr,qemtvd-07-w56zg-worker-0-mb2zg,945,1822,1127,400610357,7284252,Running
2026-08-05T21:20:21Z,240,plan-ref-rhel-vm-1074-bf9mr,qemtvd-07-w56zg-worker-0-mb2zg,1030,1878,2836,400704301,7302624,Running
2026-08-05T21:20:41Z,261,plan-ref-rhel-vm-1074-bf9mr,qemtvd-07-w56zg-worker-0-mb2zg,1108,1880,1373,405150884,7383284,Running
2026-08-05T21:21:01Z,281,plan-ref-rhel-vm-1074-bf9mr,qemtvd-07-w56zg-worker-0-mb2zg,1265,1838,1779,423551191,7835136,Running
